Serial number,Located in box#,Label on tube,Replicate,Potato type,Potato Flesh Color,Processing type,Volume of sample (ul),Mass Spec File Name,Plate Position,Row,Column
76,2,FRM1,1,Mountain Rose,Red,French Fries,200,C18p_FRM1_5ul_BE6_01_7602.mzXML,Blue,E,6
77,2,FRM2,2,Mountain Rose,Red,French Fries,200,C18p_FRM2_5ul_BE7_01_7603.mzXML,Blue,E,7
78,2,FRM3,3,Mountain Rose,Red,French Fries,200,C18p_FRM3_5ul_BE8_01_7604.mzXML,Blue,E,8
79,2,CRM1,1,Mountain Rose,Red,Chips,200,C18p_CRM1_5ul_RA1_01_7606.mzXML,Red,A,1
80,2,CRM2,2,Mountain Rose,Red,Chips,200,C18p_CRM2_5ul_RA2_01_7607.mzXML,Red,A,2
81,2,CRM3,3,Mountain Rose,Red,Chips,200,C18p_CRM3_5ul_RA3_01_7608.mzXML,Red,A,3
82,2,SRR1,1,All Red,Red,Steamed,200,C18p_SRR1_5ul_RA4_01_7611.mzXML,Red,A,4
83,2,SRR2,2,All Red,Red,Steamed,200,C18p_SRR2_5ul_RA5_01_7612.mzXML,Red,A,5
84,2,SRR3,3,All Red,Red,Steamed,200,C18p_SRR3_5ul_RA6_01_7613.mzXML,Red,A,6
85,2,FRR1,1,All Red,Red,French Fries,200,C18p_FRR1_5ul_RA7_01_7615.mzXML,Red,A,7
86,2,FRR2,2,All Red,Red,French Fries,200,C18p_FRR2_5ul_RA8_01_7616.mzXML,Red,A,8
87,2,FRR3,3,All Red,Red,French Fries,200,C18p_FRR3_5ul_RB1_01_7617.mzXML,Red,B,1
88,2,CRR1,1,All Red,Red,Chips,200,C18p_CRR1_5ul_RB2_01_7619.mzXML,Red,B,2
89,2,CRR2,2,All Red,Red,Chips,200,C18p_CRR2_5ul_RB3_01_7620.mzXML,Red,B,3
90,2,CRR3,3,All Red,Red,Chips,200,C18p_CRR3_5ul_RB4_01_7621.mzXML,Red,B,4
91,2,SPP1,1,Purple Majesty,Purple,Steamed,200,C18p_SPP1_5ul_RB5_01_7630.mzXML,Red,B,5
92,2,SPP2,2,Purple Majesty,Purple,Steamed,200,C18p_SPP2_5ul_RB6_01_7631.mzXML,Red,B,6
93,2,SPP3,3,Purple Majesty,Purple,Steamed,200,C18p_SPP3_5ul_RB7_01_7632.mzXML,Red,B,7
94,2,FPP1,1,Purple Majesty,Purple,French Fries,200,C18p_FPP1_5ul_RB8_01_7634.mzXML,Red,B,8
95,2,FPP2,2,Purple Majesty,Purple,French Fries,200,C18p_FPP2_5ul_RC1_01_7635.mzXML,Red,C,1
96,2,FPP3,3,Purple Majesty,Purple,French Fries,200,C18p_FPP3_5ul_RC2_01_7636.mzXML,Red,C,2
97,2,CPP1,1,Purple Majesty,Purple,Chips,200,C18p_CPP1_5ul_RC3_01_7638.mzXML,Red,C,3
98,2,CPP2,2,Purple Majesty,Purple,Chips,200,C18p_CPP2_5ul_RC4_01_7639.mzXML,Red,C,4
99,2,CPP3,3,Purple Majesty,Purple,Chips,200,C18p_CPP3_5ul_RC5_01_7640.mzXML,Red,C,5
100,2,SPB1,1,All Blue,Purple,Steamed,200,C18p_SPB1_5ul_RC6_01_7643.mzXML,Red,C,6
101,2,SPB2,2,All Blue,Purple,Steamed,200,C18p_SPB2_5ul_RC7_01_7644.mzXML,Red,C,7
102,2,SPB3,3,All Blue,Purple,Steamed,200,C18p_SPB3_5ul_RC8_01_7645.mzXML,Red,C,8
103,2,FPB1,1,All Blue,Purple,French Fries,200,C18p_FPB1_5ul_RD1_01_7647.mzXML,Red,D,1
104,2,FPB2,2,All Blue,Purple,French Fries,200,C18p_FPB2_5ul_RD2_01_7648.mzXML,Red,D,2
105,2,FPB3,3,All Blue,Purple,French Fries,200,C18p_FPB3_5ul_RD3_01_7649.mzXML,Red,D,3
106,2,CPB1,1,All Blue,Purple,Chips,200,C18p_CPB1_5ul_RD4_01_7651.mzXML,Red,D,4
107,2,CPB2,2,All Blue,Purple,Chips,200,C18p_CPB2_5ul_RD5_01_7652.mzXML,Red,D,5
108,2,CPB3,3,All Blue,Purple,Chips,200,C18p_CPB3_5ul_RD6_01_7653.mzXML,Red,D,6
